DAERAH,MUKIM,KAWASAN,LATITUDE,LONGITUDE,KEDALAMAN
Padang Terap,Tekai,Kg Kubang Juluk,6.15638,100.666,1.0m
Padang Terap,Tekai,Pekan Naka,6.141387,100.67,1.0m
Padang Terap,Belimbing Kanan,Kg Jelutong,6.24907,100.652,1.0m
Padang Terap,Mukim Batang Tunggang Kiri,Balai Polis Padang Sanai,6.34229,100.688,1.0m
Padang Terap,Tekai,Kg Tandop Besar,6.1906,100.644,0.8m
Langkawi,Bohor,Kg Nyior Chabang,6.36079,99.7489,0.3m - 0.5m
Langkawi,Ayer Hangat,Kg Ewa,6.4036,99.7548,0.3m - 0.5m
Langkawi,Ayer Hangat,Kg Belibis,6.40545,99.7572,0.3m - 0.5m
Langkawi,Ayer Hangat,Kg Kilim Galeria Perdana,6.40297,99.8532,0.3m - 0.5m
Langkawi,Padang Matsirat,Kg Padang Matsirat,6.37049,99.6737,0.3m - 0.5m
Langkawi,Ulu Melaka,Tmn Cenderawasih,6.32103,99.7854,0.3m - 0.5m
Langkawi,Kedawang,Kg Bubur Kedawang,6.30987,99.7368,0.3m - 0.5m
Langkawi,Kedawang,Kg Bohor Masjid,6.32365,99.7438,0.3m - 0.5m
Langkawi,Ayer Hangat,Kompleks Telaga Ayer Hangat,6.42279,99.8136,0.3m - 0.5m
Baling,Baling,Kg Lubuk Pedati,5.6718717,100.9108621,0.3
Baling,Pulai,Kg Tok Weng,5.6620452,100.9067206,0.6
Baling,Baling,Kg Seberang Market,5.6790665,100.9191108,0.6
Baling,Baling,Kg Banggol Sedang,5.6697614,100.8627531,1
Baling,Pulai,Kg Pajak Hj. Yunus,5.6831397,100.8059333,1
Baling,Bakai,Kg Sedim,5.4166991,100.7330064,0.6
Baling,Siong,Kg Siput,5.7713635,100.8915944,1
Baling,Bongor,Kg Sg Batu,5.6864413,100.9210543,1
Baling,Pulai,Kg Sg Limau,5.6790527,100.8679008,1
Baling,Bongor,Kg Teluk Sanau,5.6916958,100.9562431,1
Baling,Siong,Kg Baru,5.7893734,100.8985745,1
Baling,Bakai,Kg Badang,5.4531612,100.7348736,0.6
Baling,Pulai,Kg Banggol Berangan,5.5170857,100.6904363,1.2
Baling,Siong,Kg Kuala Kedua,5.8021655,100.9191816,1
Baling,Teloi Kanan,Kg Tembak B,5.6600796,100.7035364,0.8
Baling,Siong,Kg Sri Ketengga,5.9010933,100.8969324,0.6
Baling,Bakai,Kg Seputeh,5.5355276,100.7369752,0.6
Baling,Pulai,Kg Pantai,5.6683243,100.9069647,0.3
Baling,Siong,Kg Bukit Sebelah,5.8559852,100.887957,1
Kuala Muda,Sungai Pasir,Kg. Dakwah,5.6172948,100.4705272,0.6
Kuala Muda,Sungai Petani,Kg. Bakar Arang,5.632210997,100.4793256,0.6
Kuala Muda,Gurun,Kg.Sungai Bongkok,5.8014044,100.5208858,0.6
Kuala Muda,Gurun,Kg. Jelatang,5.836319,100.471624,0.6
Kuala Muda,Sungai Petani,Kg. Bukit Belah,5.6373767,100.509703,0.6
Sik,Sik,Kg. Titi Semang,5.80618,100.723,0.6
Sik,Sik,Kg. Kemelong,5.811,100.736,0.6
Sik,Sok,Kg. Pinang,6.04394,100.806,0.6
Sik,Sok,Kg. Telaga Batu,5.1724,100.757,0.6
Kota Setar,Pumpong,Kg. Alor Gunung,6.177994,100.357966,0.5
Kota Setar,Gunong,Kg. Alor Melintang,6.18621,100.351158,0.5
Kota Setar,Mergong,Kg. Gunung Sali,6.131397,100.356428,0.3
Kota Setar,Gunung,Kg Sungai Baru,6.177756,100.344261,1
Kota Setar,Gunung,Kg Gunong Keriang,6.183652,100.346028,1
Kota Setar,Gunung,Kg Pulau Kerengga,6.198051,100.363494,1
Kota Setar,Anak Bukit,Kg Alor Senjaya,6.187771,100.381182,1
Kota Setar,Anak Bukit,Kg Alor Madi,6.18671,100.375,1
Kota Setar,Pumpong,Pantai Johor/ Mentaloon,6.166367,100.36885,0.5
Kota Setar,Anak Bukit,Kg Titi Gajah,6.19224,100.382,1
Kota Setar,Anak Bukit,"Tmn Aman, Bandar Anak Bukit",6.18051,100.37,1
Pendang,Ayer Puteh,Kg. Banggol Kambing,5.986953,100.488719,0.1
Pendang,Ayer Puteh,Kg. Seberang Pendang,5.993177,100.479881,0.1
Pendang,Ayer Puteh,Kg. Sukamari,5.9865,100.4816,0.5
